category,dish_name,price,description
"POSTRES","TAPITAS Y PICOTEO","1/2...11.00€ | RACIÓN...22.00€"," GAMBAS DE COSTA Gambas cosida o a la plancha"
"POSTRES","ENSALADILLA DE MARISCO","1/2...7.00€ | RACIÓN..14.00€"," Selección de mariscos frescos ligados con una mayonesa suave y cremosa, fresca y llena de sabor a mar"
"POSTRES","PATATAS ARRUGADAS","7.00€"," Patatas con mojó picón"
"POSTRES","Pimentos del padrón con flor de sal","PIMENTOS DEL PADRÓN 7.00€",""
"POSTRES","PIMIENTOS A LA PARRILLA AL","ESTILO PORTUGUÉS 7.00€"," Pimientos en la brasa en aceite y ajo"
"POSTRES","GARBANZOS CON BACALAO","9.00€ | 8.00€"," ALINADOS Bacalao con garbanzos y su aliño"
"POSTRES","AL CENTRO","PAN Y MANTEQUILLA 1.50€ | COUVERT 8.00€ | PLATO DE QUESO 1/2...9.00€ | RACIÓN...18.00€ | 1/2...10.00€ | RACIÓN...20.00€ | FRESCO Y BLANCO 5.50€ | 9.00€"," Por persona Selección de quesos curados, patés caseros y encurtidos, acompañados de zanahoria aliñada en aceite y ajo, pimientos del padrón y aceite de oliva con vinagre balsámico de frutos rojos. Una selección de quesos JAMÓN IBERICO lonchas de jamón iberico servido en una galleta de regaña Queso fresco al estilo portugués, aliñado con aceite de oliva, pimienta negra y orégano. CAPRICHO DE QUESO DE CABRA Queso de cabra gratinado al horno con nueces y salsa de arándanos"
"POSTRES","ENSALADA Y VERDURA","ENSALADA MIXTA 8.00€ | TOMATE ALIÑADO 9.00€ | 13.00€ | 13.00€"," Lechuga, tomate y cebolla Tomate con él aliño de la casa PARRILLADA DE VERDURAS ENSALADA DE PEPINO CON SALMÓN HUMADO Y QUESO CREMA (possible sin lactosa ) SALMOREJO el tradicional con taquitos de jamón o con bacalao"
"POSTRES","FREIDURÍA","cada croqueta + 1.00€ | 6 UN...6.00€ | 12 UN...12.00€"," CROQUETAS DE LA CASA Gambas,Puchero,Pollo o Verduras (Puede mezclar y elegir 2 variedades: 3 y 3 o 6 y 6)."
"POSTRES","(Todos los fritos es possible sin gluten)","CHOCOS RAC... 14.00€ | BOQUERONES RAC... 14.00€ | CALAMARES RAC... 14.00€ | TEMPURA DE VERDURAS RAC... 12.00€",""
"POSTRES","CARNES A LA BRASA DE","19.00€"," LEÑA POLLO DE LA ""GUIA"" ENTERO(TIPO PICANTÓN) Pollo estilo portugués tierno a la brasa acompañado de patatas fritas y ensalada"
"POSTRES","1/2 POLLO DE LA ""GUIA"" Pollo estilo portugués tierno a","10.00€"," la brasa acompañado de patatas fritas y ensalada"
"POSTRES","COSTILLAS IBÉRICAS","19.50€"," costillas a la brasa acompañado de patatas fritas y ensalada"
"POSTRES","PRESA IBÉRICA O","21.50€"," SECRETO IBÉRICO Cerdo ibérico a la brasa acompañado de patatas fritas y ensalada"
"POSTRES","CHULETÓN DE TERNERA","8.00€"," (CADA 100GR) chuletón de ternera acompañado de patatas fritas y pimientos de padrón y ensalada"
"POSTRES","ENTRECÔT DE TERNERA","29.50€"," URUGUAYA 320GR Acompañado con patatas confitadas y verduras al horno"
"POSTRES","PICAÑA BRASILEÑA","21.50€"," Picaña brasileña acompañado de Arroz,patatas fritas, frijoles negros y ensalada"
"POSTRES","PESCADO A LA BRASA DE LEÑA","10.00€ (6 UN.) | 19.00€ (12 UN.) | LUBINA 8.00€ | DORADA 8.00€ | RODABALLO 9.00€ | LENGUADO 9.00€ | CHOCO ENTERO 23.50€ | GAMBONS AL CARBÓN 23.50€ | 24.00€ | 29.00€ | JUMBO A LA BRASA(UN.) 16.00€"," SARDINAS EN EL ESPETO acompañado de patatas cocidas al horno y verdura y hecha al horno (sardinas solo en temporada) El pescado se cobra por peso: cada 100gr. Rogamos lo confirme con un miembro de nuestro personal LOMO DE BACALAO AL CARBÓN REJO DE PULPO A LA LAGAREIRO ⏳ NOTA IMPORTANTE: NUESTROS PLATOS SON ELABORADOS AL MOMENTO CON PRODUCTOS FRESCOS. POR FAVOR, TENGA EN CUENTA QUE EL TIEMPO DE PREPARACIÓN PUEDE VARIAR ENTRE 15 Y 30 MINUTOS, DEPENDIENDO DEL PLATO Y DE LA AFLUENCIA DE CLIENTES. ¡AGRADECEMOS SU COMPRENSIÓN!"
"POSTRES","PARA LOS PEQUES","8.00€ | 6.00€ | NUESTRO EQUIPO — TODOS POR 6,00 €"," NUGGETS VARITAS DE PESCADO HUEVOS CON PATATAS PECHUGA CON PATATAS GUARNICIONES PATATAS FRITAS PATATAS ARRUGADAS PATATA COCIDAS ARROZ POSTRES ¿TE APETECE ALGO DULCE? DESCUBRE NUESTROS POSTRES CASEROS, HECHOS CON AMOR, EN LA VITRINA O PREGUNTANDO A"
